property_id,location_id,page_url,property_type,price,price_bin,location,city,province_name,locality,latitude,longitude,baths,area,area_marla,area_sqft,purpose,bedrooms,date_added,year,month,day,agency,agent
8932311,160,https://www.zameen.com/Property/islamabad_d_12_house_is_available_for_rent-8932311-160-4.html,House,55000,Medium,D-12,Islamabad,Islamabad Capital,"D-12, Islamabad, Islamabad Capital",33.701636,72.948532,4,4 Marla,4,1089,For Rent,4,7/17/2019,2019,7,17,,
9021939,3155,https://www.zameen.com/Property/d_12_d_12_2_brand_new_upper_portion_of_1_25_kanal_house_for_rent-9021939-3155-4.html,Upper Portion,90000,Very High,D-12,Islamabad,Islamabad Capital,"D-12, Islamabad, Islamabad Capital",33.702421,72.941837,3,1.2 Kanal,24,6534.02,For Rent,3,7/17/2019,2019,7,17,,
9586053,3154,https://www.zameen.com/Property/d_12_d_12_1_owners_constructed_designer_made_picturesque_bungalow_for_sale-9586053-3154-1.html,House,34000000,Very High,D-12,Islamabad,Islamabad Capital,"D-12, Islamabad, Islamabad Capital",33.697565,72.944241,7,11 Marla,11,2994.76,For Sale,7,7/4/2019,2019,7,4,,
9697712,3154,https://www.zameen.com/Property/d_12_d_12_1_newly_built_proper_architecture_house-9697712-3154-1.html,House,52500000,Very High,D-12,Islamabad,Islamabad Capital,"D-12, Islamabad, Islamabad Capital",33.697565,72.944241,9,10.9 Marla,10.9,2967.54,For Sale,7,7/4/2019,2019,7,4,,
9855284,160,https://www.zameen.com/Property/islamabad_d_12_house_is_available_for_rent-9855284-160-4.html,House,36000,Low,D-12,Islamabad,Islamabad Capital,"D-12, Islamabad, Islamabad Capital",33.701636,72.948532,0,8.9 Marla,8.9,2423.03,For Rent,0,7/17/2019,2019,7,17,,
9942476,160,https://www.zameen.com/Property/islamabad_d_12_newly_constructed_house_for_sale-9942476-160-1.html,House,16000000,Medium,D-12,Islamabad,Islamabad Capital,"D-12, Islamabad, Islamabad Capital",33.70406839,72.95312371,3,4 Marla,4,1089,For Sale,3,7/4/2019,2019,7,4,,
10374991,160,https://www.zameen.com/Property/islamabad_d_12_25x40_portion_for_rent_in_d_12-10374991-160-4.html,Lower Portion,20000,Low,D-12,Islamabad,Islamabad Capital,"D-12, Islamabad, Islamabad Capital",33.701636,72.948532,0,4.4 Marla,4.4,1197.9,For Rent,1,7/17/2019,2019,7,17,,
10374999,160,https://www.zameen.com/Property/islamabad_d_12_25x40_portion_for_rent_in_d12-10374999-160-4.html,Upper Portion,26000,Low,D-12,Islamabad,Islamabad Capital,"D-12, Islamabad, Islamabad Capital",33.701636,72.948532,0,4.4 Marla,4.4,1197.9,For Rent,2,7/17/2019,2019,7,17,,
10434742,160,https://www.zameen.com/Property/islamabad_d_12_d_12_40x80_upper_portion_for_rent-10434742-160-4.html,Upper Portion,60000,High,D-12,Islamabad,Islamabad Capital,"D-12, Islamabad, Islamabad Capital",33.701636,72.948532,0,14 Marla,14,3811.51,For Rent,3,7/4/2019,2019,7,4,,
10434773,160,https://www.zameen.com/Property/islamabad_d_12_d_12_40x80_upper_portion_for_rent-10434773-160-4.html,Upper Portion,60000,High,D-12,Islamabad,Islamabad Capital,"D-12, Islamabad, Islamabad Capital",33.701636,72.948532,0,14 Marla,14,3811.51,For Rent,3,7/4/2019,2019,7,4,,
10434819,160,https://www.zameen.com/Property/islamabad_d_12_d_12_35x70_upper_portion_for_rent-10434819-160-4.html,Upper Portion,45000,High,D-12,Islamabad,Islamabad Capital,"D-12, Islamabad, Islamabad Capital",33.7043303,72.94303391,0,10 Marla,10,2722.51,For Rent,3,7/4/2019,2019,7,4,,
10524867,160,https://www.zameen.com/Property/islamabad_d_12_apartment_for_sale-10524867-160-1.html,Flat,4500000,Low,D-12,Islamabad,Islamabad Capital,"D-12, Islamabad, Islamabad Capital",33.701636,72.948532,0,4 Marla,4,1089,For Sale,1,7/4/2019,2019,7,4,,
10601768,3154,https://www.zameen.com/Property/d_12_d_12_1_brand_new_home_for_sale_in_d121_islamabad_elegant_modern_architect_designed_park_facing_home_on_a_corner_plot-10601768-3154-1.html,House,49500000,Very High,D-12,Islamabad,Islamabad Capital,"D-12, Islamabad, Islamabad Capital",33.697565,72.944241,6,11 Marla,11,2994.76,For Sale,4,7/4/2019,2019,7,4,,
10845554,160,https://www.zameen.com/Property/islamabad_d_12_ace_villas_d_12_house_for_sale-10845554-160-1.html,House,16000000,Medium,D-12,Islamabad,Islamabad Capital,"D-12, Islamabad, Islamabad Capital",33.701636,72.948532,4,8 Marla,8,2178.01,For Sale,3,7/4/2019,2019,7,4,,
10974014,3154,https://www.zameen.com/Property/d_12_d_12_1_600_sq_yard_new_house_for_sale-10974014-3154-1.html,House,76500000,Very High,D-12,Islamabad,Islamabad Capital,"D-12, Islamabad, Islamabad Capital",33.697565,72.944241,0,1.2 Kanal,24,6534.02,For Sale,10,7/4/2019,2019,7,4,,
