date_added,baths,area_marla,area_sqft,bedrooms,price
8/8/2018,0,20,5445.02,3,70000000
8/8/2018,3,20,5445.02,4,75000000
8/8/2018,4,20,5445.02,4,75000000
9/7/2018,2,4,1089,2,16500000
9/7/2018,5,10,2722.51,5,21000000
10/7/2018,5,4,1089,5,16000000
10/7/2018,3,4,1089,2,11500000
11/6/2018,10,11,2994.76,8,53000000
12/6/2018,7,20,5445.02,6,85000000
12/6/2018,8,20,5445.02,8,80000000
12/6/2018,0,14,3811.51,0,57500000
1/5/2019,5,8,2178.01,4,35000000
2/4/2019,5,4,1089,3,16800000
2/4/2019,5,5,1361.25,4,18500000
2/4/2019,5,4.9,1334.03,5,16000000
2/4/2019,6,14,3811.51,6,55000000
2/4/2019,4,8.5,2314.13,3,19000000
3/5/2019,5,4.4,1197.9,5,18000000
3/6/2019,6,4,1089,6,17000000
3/6/2019,5,110,29947.61,4,19000000
3/6/2019,5,4,1089,4,19000000
3/6/2019,0,4,1089,5,17500000
4/5/2019,5,5,1361.25,4,16000000
4/5/2019,5,5,1361.25,5,23000000
4/5/2019,5,4.4,1197.9,4,17500000
4/5/2019,5,4.4,1197.9,4,18000000
4/5/2019,3,4.4,1197.9,4,18400000
4/5/2019,5,4,1089,5,17500000
4/5/2019,4,4.4,1197.9,5,17000000
4/5/2019,5,5.6,1524.61,5,27000000
5/4/2019,2,4,1089,2,6500000
5/4/2019,7,5.6,1524.61,7,18000000
5/4/2019,6,4.4,1197.9,5,17000000
5/5/2019,4,4,1089,4,15000000
5/5/2019,4,4,1089,4,19000000
5/5/2019,4,4,1089,3,17500000
5/5/2019,4,4,1089,3,19000000
5/5/2019,2,4.4,1197.9,2,13500000
5/5/2019,6,5,1361.25,5,22500000
5/5/2019,4,4.4,1197.9,4,17000000
5/5/2019,4,4.4,1197.9,4,17500000
5/5/2019,4,4.4,1197.9,5,15500000
5/5/2019,3,4,1089,4,16500000
5/5/2019,2,4.9,1334.03,2,11000000
6/3/2019,5,4.4,1197.9,4,18500000
6/3/2019,5,4.4,1197.9,3,18200000
6/3/2019,9,24,6534.02,9,85000000
6/3/2019,4,5,1361.25,4,20000000
6/3/2019,4,4,1089,4,19000000
6/4/2019,9,24,6534.02,9,100000000
6/5/2019,3,4,1089,3,18000000
6/12/2019,3,4,1089,3,16500000
6/12/2019,0,3.3,898.43,0,6500000
6/12/2019,2,3.8,1034.55,2,5500000
6/12/2019,3,4,1089,3,17500000
6/13/2019,4,4,1089,4,17500000
6/13/2019,2,4,1089,2,9000000
6/13/2019,10,24,6534.02,9,97500000
6/13/2019,4,5.4,1470.16,4,17000000
6/13/2019,3,4.4,1197.9,3,16000000
6/13/2019,0,5,1361.25,0,25000000
6/13/2019,0,24,6534.02,0,100000000
6/13/2019,0,10,2722.51,0,48000000
6/13/2019,0,5,1361.25,0,24000000
6/13/2019,0,4,1089,0,21000000
6/13/2019,0,8,2178.01,0,35000000
6/13/2019,0,5,1361.25,0,27500000
6/13/2019,0,4,1089,0,18000000
6/13/2019,0,4,1089,0,17500000
6/13/2019,4,4.4,1197.9,3,16000000
6/13/2019,5,5,1361.25,5,27000000
6/13/2019,5,10,2722.51,5,48500000
6/13/2019,3,4,1089,3,18500000
6/19/2019,3,4,1089,3,16000000
6/19/2019,5,4,1089,4,17000000
6/19/2019,6,12,3267.01,6,55000000
6/19/2019,5,5,1361.25,5,27000000
6/19/2019,3,4,1089,3,18500000
6/19/2019,6,10,2722.51,6,50000000
6/19/2019,0,10,2722.51,0,48500000
6/19/2019,4,4,1089,4,15500000
6/19/2019,0,4,1089,0,16000000
6/19/2019,0,4,1089,0,19500000
6/19/2019,0,24,6534.02,0,100000000
6/19/2019,0,5,1361.25,0,22500000
6/19/2019,0,4,1089,0,19000000
6/19/2019,0,4,1089,0,18000000
6/20/2019,4,4,1089,0,18500000
6/20/2019,3,4,1089,3,17500000
6/25/2019,4,5,1361.25,4,24000000
6/26/2019,4,4,1089,3,18000000
6/27/2019,3,4,1089,3,19000000
6/27/2019,6,14.2,3865.96,6,49000000
6/27/2019,0,4,1089,0,17000000
6/27/2019,8,12,3267.01,7,55000000
