date,location,bedrooms,bathrooms,Area_Marla,price
5/17/2020,"D-12/3, D-12",8,8,24,120000000
11/17/2020,"D-12, Islamabad",5,5,4.4,26500000
3/17/2021,"D-12, Islamabad",4,5,5,29000000
4/17/2021,"D-12/2, D-12",8,8,24,110000000
4/17/2021,"D-12/1, D-12",4,4,4,29000000
5/17/2021,"D-12/1, D-12",5,6,5,33000000
5/17/2021,"D-12/1, D-12",5,5,4.4,26500000
5/17/2021,"D-12/1, D-12",4,7,10,55000000
6/17/2021,"D-12/1, D-12",2,2,4,23000000
6/17/2021,"D-12, Islamabad",5,5,4,37500000
7/17/2021,"D-12/3, D-12",5,3,4,25000000
8/17/2021,"D-12, Islamabad",5,5,14,80000000
9/17/2021,"D-12/1, D-12",5,5,10,68000000
9/17/2021,"D-12, Islamabad",3,3,5,36000000
9/17/2021,"D-12/4, D-12",6,6,7,48000000
9/17/2021,"D-12, Islamabad",,,3.3,79000000
9/17/2021,"D-12, Islamabad",8,8,8,60000000
9/17/2021,"D-12, Islamabad",4,5,4,30000000
9/17/2021,"D-12, Islamabad",6,6,10,65000000
9/17/2021,"D-12, Islamabad",4,5,4,26500000
9/17/2021,"D-12, Islamabad",4,5,4,27500000
9/17/2021,"D-12, Islamabad",6,9,10,65000000
10/17/2021,"D-12, Islamabad",6,6,10,65000000
10/17/2021,"D-12, Islamabad",9,9,20,125000000
10/17/2021,"D-12/4, D-12",5,6,10,70000000
11/17/2021,"D-12, Islamabad",3,3,5,34000000
11/17/2021,"D-12, Islamabad",4,4,4,27000000
11/17/2021,"D-12, Islamabad",6,6,14,75000000
11/17/2021,"D-12/4, D-12",5,7,10,65000000
11/17/2021,"D-12, Islamabad",9,10,10,67000000
11/17/2021,"D-12, Islamabad",2,2,4,32500000
11/17/2021,"D-12, Islamabad",4,4,5,33500000
11/17/2021,"D-12/1, D-12",5,5,4,33000000
11/17/2021,"D-12/3, D-12",4,4,4,29000000
11/17/2021,"D-12, Islamabad",6,9,10,75000000
11/17/2021,"D-12/1, D-12",4,4,5,33000000
11/17/2021,"D-12, Islamabad",4,4,10,70000000
12/17/2021,"D-12, Islamabad",6,6,9.3,68000000
12/17/2021,"D-12/3, D-12",3,4,5.6,35000000
12/17/2021,"D-12, Islamabad",4,4,10.1,65000000
12/17/2021,"D-12, Islamabad",3,4,4,27500000
12/17/2021,"Karsaaz Villas, D-12",4,4,13.2,29000000
12/17/2021,"D-12, Islamabad",6,10,10,67500000
12/17/2021,"D-12, Islamabad",4,4,4.4,27000000
12/17/2021,"D-12, Islamabad",9,9,20,137500000
12/17/2021,"D-12/1, D-12",4,5,4,25000000
12/17/2021,"D-12/3, D-12",4,5,4,26000000
12/17/2021,"D-12/1, D-12",4,5,4.4,27500000
12/17/2021,"D-12, Islamabad",6,6,10.9,65000000
12/17/2021,"D-12, Islamabad",4,5,8,48000000
12/17/2021,"D-12, Islamabad",4,4,4,24000000
12/17/2021,"D-12, Islamabad",4,4,4,26500000
12/17/2021,"D-12/2, D-12",,,12,72000000
12/17/2021,"D-12, Islamabad",10,10,20,135000000
12/17/2021,"D-12, Islamabad",4,4,4,28000000
12/17/2021,"D-12/4, D-12",6,7,8,62000000
12/17/2021,"D-12, Islamabad",7,7,40,150000000
12/17/2021,"D-12/3, D-12",5,4,5,28000000
12/17/2021,"D-12, Islamabad",4,6,10,29000000
1/17/2022,"D-12, Islamabad",4,5,4.4,27500000
1/17/2022,"D-12/4, D-12",6,6,10.9,85000000
1/17/2022,"D-12/4, D-12",3,5,8,58500000
1/17/2022,"Karsaaz Villas, D-12",4,4,10,30000000
1/17/2022,"D-12, Islamabad",6,7,14.2,72500000
1/17/2022,"D-12/4, D-12",8,8,8,52500000
1/17/2022,"D-12, Islamabad",3,4,4,27000000
1/17/2022,"D-12/1, D-12",4,4,4.4,30000000
1/17/2022,"D-12, Islamabad",3,4,4,27500000
1/17/2022,"D-12/1, D-12",5,5,4.4,32500000
1/17/2022,"D-12/1, D-12",,,8,37500000
1/17/2022,"D-12/2, D-12",9,9,20,135000000
1/17/2022,"D-12/3, D-12",4,4,4,27500000
1/17/2022,"D-12, Islamabad",4,4,4,24500000
1/20/2022,"D-12/3, D-12",5,6,10,65000000
1/20/2022,"D-12, Islamabad",4,5,4.4,35000000
1/20/2022,"D-12, Islamabad",3,3,4,33500000
1/20/2022,"D-12/1, D-12",4,4,4.4,28000000
1/20/2022,"D-12, Islamabad",4,4,4,32500000
