,ds,location,Area_Marla,bedrooms,bathrooms,yhat
0,2020-11-17,"D-12, Islamabad",4.4,4,4,26512579.9409795
1,2021-12-17,"D-12, Islamabad",4.4,4,4,27023753.323737558
2,2022-01-17,"D-12, Islamabad",4.4,4,4,30051336.886049524
3,2022-01-20,"D-12, Islamabad",4.4,4,4,31264927.852909394
4,2022-02-03,"D-12, Islamabad",4.4,4,4,31486554.879568543
5,2022-02-10,"D-12, Islamabad",4.4,4,4,31597368.392800987
6,2022-02-14,"D-12, Islamabad",4.4,4,4,30494590.939274352
7,2022-02-17,"D-12, Islamabad",4.4,4,4,31708181.906217538
8,2022-02-18,"D-12, Islamabad",4.4,4,4,28021074.94319444
9,2022-02-19,"D-12, Islamabad",4.4,4,4,26534923.319648907
10,2022-02-20,"D-12, Islamabad",4.4,4,4,26550753.888887294
11,2022-02-21,"D-12, Islamabad",4.4,4,4,30605404.452704325
12,2022-02-22,"D-12, Islamabad",4.4,4,4,33826271.814938515
13,2022-02-23,"D-12, Islamabad",4.4,4,4,26598245.271372426
14,2022-02-24,"D-12, Islamabad",4.4,4,4,31818995.41963408
15,2022-02-25,"D-12, Islamabad",4.4,4,4,28131888.456611175
16,2022-02-26,"D-12, Islamabad",4.4,4,4,26645736.833072186
17,2022-02-27,"D-12, Islamabad",4.4,4,4,26661567.402276024
18,2022-02-28,"D-12, Islamabad",4.4,4,4,30716217.96610622
19,2022-03-01,"D-12, Islamabad",4.4,4,4,33937085.3283454
20,2022-03-02,"D-12, Islamabad",4.4,4,4,26709058.784784697
21,2022-03-03,"D-12, Islamabad",4.4,4,4,31929808.93304243
22,2022-03-04,"D-12, Islamabad",4.4,4,4,28242701.9700279
23,2022-03-05,"D-12, Islamabad",4.4,4,4,26756550.34648256
24,2022-03-06,"D-12, Islamabad",4.4,4,4,26772380.915682975
25,2022-03-07,"D-12, Islamabad",4.4,4,4,30827031.47953619
26,2022-03-08,"D-12, Islamabad",4.4,4,4,34047898.84176135
27,2022-03-09,"D-12, Islamabad",4.4,4,4,26819872.29820761
