page_link,img_link,whatsapp_link,price,location,bedrooms,bathrooms,area,title,description,time
https://www.zameen.com/Property/islamabad_d_12_1_kanal_brand_new_triple_storey_house_for_sale-35937512-160-1.html,https://media.zameen.com/thumbnails/146451959-400x300.jpeg,https://wa.me/?text=1%20Kanal%20Brand%20New%20Triple%20Storey%20House%20For%20Sale%20https%3A%2F%2Fwww.zameen.com%2FProperty%2Fislamabad_d_12_1_kanal_brand_new_triple_storey_house_for_sale-35937512-160-1.html,13.5 Crore,"D-12, Islamabad",9,9,1 Kanal,1 Kanal Brand New Triple Storey House For Sale,"1 Kanal Triple Storey House For Sale
margalla Facing
triple Story
9 Bedrooms With Attach Bathroom
3... more",Added: 2 weeks ago
https://www.zameen.com/Property/islamabad_d_12_4_marla_prime_location_house_for_sale-36400448-160-1.html,https://media.zameen.com/thumbnails/148842027-400x300.jpeg,https://wa.me/?text=4%20Marla%20Prime%20location%20House%20For%20Sale%20https%3A%2F%2Fwww.zameen.com%2FProperty%2Fislamabad_d_12_4_marla_prime_location_house_for_sale-36400448-160-1.html,3.25 Crore,"D-12, Islamabad",4,4,4 Marla,4 Marla Prime location House For Sale,"4 Marla Beautiful House For Sale 
Prime Location(Infront Of D12 Markaz)
Two Unit House
4 Bedrooms... more",Added: 5 days ago
https://www.zameen.com/Property/islamabad_d_12_main_road_brand_new_house_d_12_for_sale-36036385-160-1.html,https://images.zameen.com/smap/400/300/33.701636/72.948532/image.jpeg?quality=80&imageformat=jpeg,https://wa.me/?text=Main%20Road%20Brand%20New%20House%20D-12%20For%20Sale%20https%3A%2F%2Fwww.zameen.com%2FProperty%2Fislamabad_d_12_main_road_brand_new_house_d_12_for_sale-36036385-160-1.html,3.1 Crore,"D-12, Islamabad",4,4,4.4 Marla,Main Road Brand New House D-12 For Sale,"Beautiful House For Sale Main Road 
4 Bedrooms With Attach Bathroom
2 Kitchens
tv Lounge
big Car... more",Added: 2 weeks ago
https://www.zameen.com/Property/d_12_d_12_1_prime_location_brand_new_street_corner_double_storey_house_is_available_for_sale_in_d_12_1_islamabad-36370079-3154-1.html,https://media.zameen.com/thumbnails/148688704-400x300.jpeg,https://wa.me/?text=Prime%20Location%20Brand%20New%20Street%20Corner%20Double%20Storey%20House%20Is%20Available%20For%20Sale%20In%20D-12%2F1%20Islamabad%20https%3A%2F%2Fwww.zameen.com%2FProperty%2Fd_12_d_12_1_prime_location_brand_new_street_corner_double_storey_house_is_available_for_sale_in_d_12_1_islamabad-36370079-3154-1.html,3.55 Crore,"D-12/1, D-12",3,5,4.4 Marla,Prime Location Brand New Street Corner Double Storey House Is Available For Sale In D-12/1 Islamabad,Prime Location Brand New Street  Corner Double Storey House Is Available For Sale In D-12/1... more,Added: 20 hours ago
https://www.zameen.com/Property/d_12_d_12_1_brand_new_double_unit_house_is_available_for_sale_in_d_12_1_islamabad-36529103-3154-1.html,https://media.zameen.com/thumbnails/149473249-400x300.jpeg,https://wa.me/?text=Brand%20New%20Double%20Unit%20House%20Is%20Available%20For%20Sale%20In%20D-12%2F1%20Islamabad%20https%3A%2F%2Fwww.zameen.com%2FProperty%2Fd_12_d_12_1_brand_new_double_unit_house_is_available_for_sale_in_d_12_1_islamabad-36529103-3154-1.html,3.33 Crore,"D-12/1, D-12",3,4,4.4 Marla,Brand New Double Unit House Is Available For Sale In D-12/1 Islamabad,"Brand New Double Unit House Is Available for Sale in D-12/1 Islamabad. 
3 Bedroon With Attached... more",Added: 2 days ago
https://www.zameen.com/Property/islamabad_d_12_1_kanal_brand_new_triple__storey_house_available_for_sale_d_12_in_islamabad-36010454-160-1.html,https://media.zameen.com/thumbnails/146854978-400x300.jpeg,https://wa.me/?text=1%20Kanal%20Brand%20New%20Triple%20%20Storey%20House%20Available%20For%20Sale%20D-12%20In%20Islamabad%20https%3A%2F%2Fwww.zameen.com%2FProperty%2Fislamabad_d_12_1_kanal_brand_new_triple__storey_house_available_for_sale_d_12_in_islamabad-36010454-160-1.html,14 Crore,"D-12, Islamabad",9,10,1 Kanal,1 Kanal Brand New Triple  Storey House Available For Sale D-12 In Islamabad,"1sf
3 Master Beds With Attached Wash Rooms 
T. V  Lounge 
Drawing Dining 
Kitchen
Servant Room 
... more",Added: 5 days ago
https://www.zameen.com/Property/d_12_d_12_1_house_for_sale_cda_sector-36231902-3154-1.html,https://media.zameen.com/thumbnails/147999299-400x300.jpeg,https://wa.me/?text=House%20For%20Sale%20Cda%20Sector%20https%3A%2F%2Fwww.zameen.com%2FProperty%2Fd_12_d_12_1_house_for_sale_cda_sector-36231902-3154-1.html,2.5 Crore,"D-12/1, D-12",3,4,4 Marla,House For Sale Cda Sector,"25x40 Double Unit House For Sale Investor Rate
3bed With Bath
dd Lounge
2 Kitchen And
servant Room... more",Added: 6 days ago
https://www.zameen.com/Property/d_12_d_12_4_35_70_brand_new_corner_with_extra_land_owner_built_prime_location-36355684-3157-1.html,https://media.zameen.com/thumbnails/148724631-400x300.jpeg,https://wa.me/?text=35*70%20Brand%20New%20Corner%20With%20Extra%20Land%20Owner%20Built%20Prime%20Location%20https%3A%2F%2Fwww.zameen.com%2FProperty%2Fd_12_d_12_4_35_70_brand_new_corner_with_extra_land_owner_built_prime_location-36355684-3157-1.html,9 Crore,"D-12/4, D-12",6,6,10.9 Marla,35*70 Brand New Corner With Extra Land Owner Built Prime Location,"D-12 Corner House 
with Extra Land 
size 35*70 
6  Beds  6bath 2 Drawing Room 2 Dinning 
2 Tv... more",Added: 1 week ago
https://www.zameen.com/Property/d_12_d_12_1_brand_new_double_storey_house_is_available_for_sale_in_d_12_1_islamabad-35894078-3154-1.html,,https://wa.me/?text=Brand%20New%20Double%20Storey%20House%20Is%20Available%20For%20Sale%20In%20D-12%201%20Islamabad%20https%3A%2F%2Fwww.zameen.com%2FProperty%2Fd_12_d_12_1_brand_new_double_storey_house_is_available_for_sale_in_d_12_1_islamabad-35894078-3154-1.html,2.75 Crore,"D-12/1, D-12",3,4,4.4 Marla,Brand New Double Storey House Is Available For Sale In D-12 1 Islamabad,"Brand New Double Storey House Is Available For Sale In D-12 1 Islamabad. 
3 Bedroom With Attached... more",Added: 1 week ago
https://www.zameen.com/Property/islamabad_d_12_looking_for_a_house_in_d_12-36321216-160-1.html,,https://wa.me/?text=Looking%20For%20A%20House%20In%20D-12%20https%3A%2F%2Fwww.zameen.com%2FProperty%2Fislamabad_d_12_looking_for_a_house_in_d_12-36321216-160-1.html,4 Crore,"D-12, Islamabad",3,5,4.4 Marla,Looking For A House In D-12,"3 Bed house with open Basement. 
4 bath newly consteuted house. 
1 additional bath for servant on... more",Added: 1 week ago
